date,ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,spotify_track_uri
2020-09-04,2020-09-04 16:48:51+00:00,208506,Nights Interlude,Nightmares On Wax,spotify:track:2aXIPVnfoafaiR0EOQIEIP
2020-09-04,2020-09-04 16:49:30+00:00,39858,Scale It Back - Radio Edit,DJ Shadow,spotify:track:36cPAjE8pUyFKoAqOuNpew
2020-09-04,2020-09-04 16:49:32+00:00,1834,A Tune for Jack,Lemon Jelly,spotify:track:1GYVFolrzA1ZWirojv1FNM
2020-09-04,2020-09-04 16:49:35+00:00,2456,Ghetto in Paradise,Guts,spotify:track:6MtX9yBR4b0AwdNKBawutU
2020-09-04,2020-09-04 16:49:37+00:00,1210,Let the Funk Ride,Aim,spotify:track:23t2WMVoYKR9XqLVsk6WAG
2020-09-04,2020-09-04 16:53:39+00:00,242800,A grand love theme,Kid Loco,spotify:track:0pg2VKzTsBdbxPzcOkReY2
2020-09-04,2020-09-04 16:57:27+00:00,229520,Days To Come,Bonobo,spotify:track:1mRTSIs40qa2L7omBzQd1u
2020-09-04,2020-09-04 17:01:30+00:00,245357,San San Rock,Thievery Corporation,spotify:track:0hpVsKtKOhxY3QYtzat4YI
2020-09-04,2020-09-04 17:06:28+00:00,300693,Yes Baby Yes,Mo' Horizons,spotify:track:2NxIOFFrMxjeiPogqIkno1
2020-09-04,2020-09-04 17:11:51+00:00,324173,Flip Ya Lid,Nightmares On Wax,spotify:track:5ftamIDoDRpEvlZinDuNNW
2020-09-04,2020-09-04 17:15:54+00:00,245640,Today,Zero 7,spotify:track:0jiKqHfWmSgPInSsGWBjbL
2020-09-04,2020-09-04 17:22:23+00:00,391000,Suntoucher,Groove Armada,spotify:track:4OUvfa7eO5jvFMIMOU7MTb
2020-09-04,2020-09-04 17:27:30+00:00,308733,El camino negro,Tommy Guerrero,spotify:track:46TKHBSVXIOYjfi3pp6X7F
2020-09-04,2020-09-04 17:29:53+00:00,145333,Good Morning,Guts,spotify:track:1cM1zsjodzOVdB4kFL0puv
2020-09-04,2020-09-04 17:29:54+00:00,1205,Happy,Rae & Christian,spotify:track:6Xodd3wwjgU8FRqIX5fkgH
2020-09-04,2020-09-04 17:29:58+00:00,4370,Good Morning,Guts,spotify:track:1cM1zsjodzOVdB4kFL0puv
2020-09-04,2020-09-04 17:30:48+00:00,48863,Happy,Rae & Christian,spotify:track:6Xodd3wwjgU8FRqIX5fkgH
2020-09-04,2020-09-04 17:30:52+00:00,3948,Why Can't We Live Together,Nickodemus,spotify:track:5EaiT0XYWDUVi8AQay4aYO
2020-09-04,2020-09-04 17:30:54+00:00,1460,Que Sera,Wax Tailor,spotify:track:0lnfcWRREvnGtXPP2ZDeq7
2020-09-04,2020-09-04 17:38:44+00:00,470000,Why Can't We Live Together,Nickodemus,spotify:track:5EaiT0XYWDUVi8AQay4aYO
2020-09-04,2020-09-04 17:41:24+00:00,164093,Que Sera,Wax Tailor,spotify:track:0lnfcWRREvnGtXPP2ZDeq7
2020-09-04,2020-09-04 17:46:45+00:00,322026,Mary L.,St Germain,spotify:track:1LK04nhkS3aQLkGsqcvg2w
2020-09-04,2020-09-04 17:50:48+00:00,244720,True Sons of Zion,Thievery Corporation,spotify:track:4KR0MPuDrJBXc7nDeQoEb7
2020-09-04,2020-09-04 17:54:35+00:00,230266,The Richest Man In Babylon,Thievery Corporation,spotify:track:6vxkqv1JheZ13gppcxHRXO
2020-09-04,2020-09-04 18:00:06+00:00,332853,70s 80s,Nightmares On Wax,spotify:track:57sa60SXzxzxcSZogh0j60
2020-09-04,2020-09-04 18:04:48+00:00,284026,Let The Chalice Blaze,Thievery Corporation,spotify:track:4pDeigJyLKpkOA14ZllSQP
2020-09-04,2020-09-04 18:11:53+00:00,426173,Ramblin' Man,Lemon Jelly,spotify:track:5eS6dUL1WjRbAwZqvEBA0H
2020-09-06,2020-09-06 09:29:39+00:00,81271,Smile,Guinney Pepper,spotify:track:71SY7uJgjQaUPA7FeSrD6U
2020-09-06,2020-09-06 09:33:36+00:00,218899,you only live once,isaac gracie,spotify:track:56XYGgS2hXgcPXf7CHioDY
2020-09-06,2020-09-06 09:37:58+00:00,261337,Goodpain - Recorded at Spotify Studios NYC,Yoke Lore,spotify:track:2ldb6EW2R2aiSlYOK2kOLy
2020-09-06,2020-09-06 09:41:30+00:00,211893,Confetti,Casey Dubie,spotify:track:7J7mAxVSouiIEQvnTQpO2t
2020-09-06,2020-09-06 09:46:47+00:00,316492,Mindless Town,Roman Lewis,spotify:track:0pQZ8JROGkVX0sPqSyb7MI
2020-09-06,2020-09-06 09:49:56+00:00,188664,4AM in London,Benjamin Francis Leftwich,spotify:track:1Yn7j6z7tTHTKOQeoK9C7Z
2020-09-06,2020-09-06 09:53:59+00:00,242638,Beautiful Birds Flying,Valley Maker,spotify:track:4DMUTuoY4306cfX7iQsrFr
2020-09-06,2020-09-06 09:58:59+00:00,298880,Shrike,Hozier,spotify:track:3ieUtb4ecQgEYxae8dzEUi
2020-09-06,2020-09-06 10:02:47+00:00,227666,Gloria,Henry Jamison,spotify:track:1FAKozGHHmuafTOj2ESuZt
2020-09-06,2020-09-06 10:05:20+00:00,152217,St. Clarity - Mahogany Sessions,The Paper Kites,spotify:track:7Cj1Mmb3sPRc2aSpj8XIjf
2020-09-06,2020-09-06 10:10:26+00:00,306400,"Let It All Go, Man",Rayland Baxter,spotify:track:6lzjz4VBXtloniJwMXWicE
2020-09-06,2020-09-06 10:14:03+00:00,216080,Sketches Of Summer,Roo Panes,spotify:track:0redPA7mKNNUB0143ELrxX
2020-09-06,2020-09-06 10:18:00+00:00,236106,If It Goes - Acoustic,Malena Zavala,spotify:track:2zYRnrqt89B8pwnHOCsoCk
2020-09-06,2020-09-06 10:18:03+00:00,1479,Permanent Way,Charlie Cunningham,spotify:track:4ewgXAEfRGjay6kmYSfbfW
2020-09-06,2020-09-06 10:18:11+00:00,8498,If It Goes - Acoustic,Malena Zavala,spotify:track:2zYRnrqt89B8pwnHOCsoCk
2020-09-06,2020-09-06 10:22:22+00:00,252080,Permanent Way,Charlie Cunningham,spotify:track:4ewgXAEfRGjay6kmYSfbfW
2020-09-06,2020-09-06 10:24:39+00:00,136000,Lucky for You,Novo Amor,spotify:track:19jTCAxeVnkwKnWHSsdg0i
2020-09-06,2020-09-06 10:28:17+00:00,217400,I Only Ever Loved Your Ghost,Jens Kuross,spotify:track:6aiJnkRz2Fhfwi8uUAb24T
2020-09-06,2020-09-06 10:32:33+00:00,255533,Imogen,Nick Mulvey,spotify:track:0X61Ud5Uzv44RvY3s1SsuO
2020-09-06,2020-09-06 10:36:31+00:00,238306,Oh Dear Brother,Howard,spotify:track:46pzqIo5K6pCC3CLIIA6so
2020-09-06,2020-09-06 10:40:52+00:00,260100,Just That Time of the Night,ISLAND,spotify:track:5oDSWZPaAfPTqPhgwijXbj
2020-09-06,2020-09-06 10:44:45+00:00,232680,Foreign Tides,RY X,spotify:track:5JCUYNmvw0uBYEr4PHASiw
2020-09-06,2020-09-06 10:48:53+00:00,247493,Sinking Ship,Wild Child,spotify:track:7orUPsozJ19Cyxv5ozoREr
2020-09-06,2020-09-06 10:52:10+00:00,196133,Motel 6,River Whyless,spotify:track:68PACVWn8sUs66oziKBD2u
2020-09-06,2020-09-06 10:59:13+00:00,43497,Tomorrow,Nightmares On Wax,spotify:track:3VghickLedNJwuE9iFdFlW
2020-09-06,2020-09-06 11:03:40+00:00,8321,The Day Is My Enemy,The Prodigy,spotify:track:5n9FldVgKYX5maCkjXzE57
2020-09-06,2020-09-06 11:09:22+00:00,342733,Smack My Bitch Up,The Prodigy,spotify:track:3tehrxZR8eaANHov4cEctL
2020-09-06,2020-09-06 11:14:57+00:00,334800,Breathe,The Prodigy,spotify:track:5oPUBUzrAnwvlmMzl1VW7Y
2020-09-06,2020-09-06 11:15:40+00:00,41933,Diesel Power,The Prodigy,spotify:track:6SMl6VR1lzJi0lFTmUlS4M
2020-09-06,2020-09-06 11:15:42+00:00,2066,Funky Shit,The Prodigy,spotify:track:1ziqaVZYjiBQDtVJtIFI7m
2020-09-06,2020-09-06 11:15:47+00:00,4445,Serial Thrilla,The Prodigy,spotify:track:7jZuueLRocdYHkvGdvAslB
2020-09-06,2020-09-06 11:21:26+00:00,339906,Mindfields,The Prodigy,spotify:track:305KnbiRHnrhMXTRpfsE2J
2020-09-06,2020-09-06 11:30:32+00:00,545960,Narayan,The Prodigy,spotify:track:3FINH3tGdSBtts7DP2hLSE
2020-09-06,2020-09-06 11:35:17+00:00,279800,Firestarter,The Prodigy,spotify:track:1GTPxha6U7x9ElVxkQw3OK
2020-09-06,2020-09-06 11:41:55+00:00,398333,Climbatize,The Prodigy,spotify:track:29vygR39Ku57jWjNDshb1K
2020-09-06,2020-09-06 11:42:07+00:00,11490,Fuel My Fire,The Prodigy,spotify:track:7lkxI0aN6qcl0sJwApGcjv
2020-09-06,2020-09-06 15:12:15+00:00,270343,You Would Have to Lose Your Mind,The Barr Brothers,spotify:track:6mV07lqIpvpBh3xBXn1M71
2020-09-06,2020-09-06 15:12:34+00:00,18134,Ride Me High,J.J. Cale,spotify:track:2OnTluP3yNVsFXTkbuQ8VH
2020-09-06,2020-09-06 15:12:57+00:00,22709,Chasing You,J.J. Cale,spotify:track:1327TQLMehN5yUQRJAtvUm
2020-09-06,2020-09-06 15:17:06+00:00,249440,Heads in Georgia,J.J. Cale,spotify:track:223ebnSx4gnLXWAEsIfuB7
2020-09-06,2020-09-06 15:19:56+00:00,170106,Boilin' Pot,J.J. Cale,spotify:track:75dFMqulJ4rJg9R3zheVN4
2020-09-06,2020-09-06 15:22:47+00:00,170666,Travelin' Light,J.J. Cale,spotify:track:6TXAZHsvrI7Ki20wTZAeu7
2020-09-06,2020-09-06 15:25:25+00:00,156840,Call Me The Breeze,J.J. Cale,spotify:track:5AQpbyFoQmkOVwmlhKN4ii
2020-09-06,2020-09-06 15:29:42+00:00,256866,It's Easy,J.J. Cale,spotify:track:0pam9exwMGxRwe9nKt1V44
2020-09-06,2020-09-06 15:31:47+00:00,124000,If You're Ever In Oklahoma,J.J. Cale,spotify:track:5Yysa8sDyeBLRysjOSfJLH
2020-09-06,2020-09-06 15:36:19+00:00,271493,The Problem,J.J. Cale,spotify:track:4tNbk8k8mCbHt6Z7cqxqEu
2020-09-07,2020-09-07 17:45:04+00:00,13438,Teardrop,Massive Attack,spotify:track:67Hna13dNDkZvBpTXRIaOJ
2020-09-07,2020-09-07 17:45:04+00:00,13438,Teardrop,Massive Attack,spotify:track:67Hna13dNDkZvBpTXRIaOJ
2020-09-07,2020-09-07 17:51:04+00:00,360204,Superstylin',Groove Armada,spotify:track:2yWyFT6bW1Rd9cjVvYi4v8
2020-09-07,2020-09-07 17:57:38+00:00,393531,At the River,Groove Armada,spotify:track:0KIPa0YuQ5QFmlAqRyXNd9
2020-09-07,2020-09-07 17:57:38+00:00,393531,At the River,Groove Armada,spotify:track:0KIPa0YuQ5QFmlAqRyXNd9
2020-09-07,2020-09-07 18:02:38+00:00,299708,My Friend,Groove Armada,spotify:track:5LRxSyiIRHQD26h1mdM0Ir
2020-09-07,2020-09-07 18:02:54+00:00,15923,I See You Baby (feat. Gramma Funk) - Fatboy Slim Radio Edit,Groove Armada,spotify:track:7o9PkTfxL0Mm7gk3Bp98hv
2020-09-07,2020-09-07 18:02:55+00:00,15923,I See You Baby (feat. Gramma Funk) - Fatboy Slim Radio Edit,Groove Armada,spotify:track:7o9PkTfxL0Mm7gk3Bp98hv
2020-09-08,2020-09-08 15:28:15+00:00,5333,Smack My Bitch Up (Noisia Remix),The Prodigy,spotify:track:1fW2WEriUSWAdiOx0sxuK0
2020-09-08,2020-09-08 15:28:44+00:00,7248,Nu Beginningz Dubwise - Mungos Hi-Fi Remix,Congo Natty,spotify:track:0RLwffBDWva0rfFpJdCDQZ
2020-09-08,2020-09-08 15:34:51+00:00,368403,Junglist (feat. Peter Bouncer),Congo Natty,spotify:track:0YjUY9QRL0tvN7FcXvAmlE
2020-09-08,2020-09-08 15:35:05+00:00,14591,Intro,Congo Natty,spotify:track:5O8tr0RD6GawG7eoLL9KEg
2020-09-08,2020-09-08 15:35:59+00:00,9940,Jungle Souljah,Congo Natty,spotify:track:3fjOBczbzIm1HnYcam47YV
2020-09-08,2020-09-08 15:41:18+00:00,322253,Get Ready,Congo Natty,spotify:track:3Z3hgecucGIO6WXFSBxE4e
2020-09-08,2020-09-08 15:42:50+00:00,92703,London Dungeons Dub - Young Warrior Remix - Son of Jah Shaka,Congo Natty,spotify:track:5i0xB3yBnRDrcbgbyE1Tj5
2020-09-08,2020-09-08 15:43:31+00:00,41647,Jah Is My Guide (feat. Tribe Of Issachar & Jah Cure) - 95 Dub Plate,Congo Natty,spotify:track:1oAmR5ysauy4PTzxxpF7ZI
2020-09-08,2020-09-08 15:48:34+00:00,303680,Get Ready VIP Dub - Sukh Knight Remix,Congo Natty,spotify:track:5X4rOD7oFGWBDB8z1DOd8A
2020-09-08,2020-09-08 15:53:26+00:00,294586,UK Allstars - Congo Natty Meets Benny Page Mix,Congo Natty,spotify:track:7aoHi8U1sFJIWUReY8vphS
2020-09-08,2020-09-08 15:56:32+00:00,182067,Micro Dub (Say No) - Conscious Sounds,Congo Natty,spotify:track:0710XBkwcQLRDPRkzOgeN1
2020-09-08,2020-09-08 15:59:03+00:00,152128,Micro Chip (Say No),Congo Natty,spotify:track:37y904epr2LwHau6lnVQuj
2020-09-08,2020-09-08 16:02:53+00:00,229973,Let's Push Things Forward,The Streets,spotify:track:4qpfuBm06Q5ZR7Tfu5hiEn
2020-09-08,2020-09-08 16:05:04+00:00,51126,Jah Warriors - Benny Page Remix,Congo Natty,spotify:track:23V0dW0HF3Hw49eZklcTy9
2020-09-08,2020-09-08 16:06:36+00:00,92414,Get Ready,Congo Natty,spotify:track:3Z3hgecucGIO6WXFSBxE4e
2020-09-08,2020-09-08 16:07:00+00:00,22685,If We Ever - Unglued Remix,High Contrast,spotify:track:2QUVsQu7ESIXqOuLTE4r0A
2020-09-08,2020-09-08 16:07:31+00:00,30497,Kiss Kiss Bang Bang,High Contrast,spotify:track:1ywMblwTVaMexGnwsA1J7k
2020-09-08,2020-09-08 16:08:51+00:00,78905,Tobacco Road,High Contrast,spotify:track:36bYaDpzrl9M9YVijhWxBI
2020-09-08,2020-09-08 16:09:20+00:00,29410,Who's Loving You - Pt. 2 / Radio Edit,High Contrast,spotify:track:7EF0wBe3rivRaYvmpXPhvn
2020-09-08,2020-09-08 16:09:31+00:00,9399,Who's Loving You - Pt. 1,High Contrast,spotify:track:3YP6DHO947sjAbzOdMK3r1
2020-09-08,2020-09-08 16:13:02+00:00,210545,Who's Loving You - Pt. 2,High Contrast,spotify:track:6kQVWxy2tuWEVbR9B2cOnS
2020-09-08,2020-09-08 16:13:08+00:00,4608,Who's Loving You - Pt. 2,High Contrast,spotify:track:6kQVWxy2tuWEVbR9B2cOnS
2020-09-10,2020-09-10 15:30:26+00:00,29940,Who's Loving You,Sananda Maitreya,spotify:track:0Lz1NsgPykKrwVnsFCmY2R
2020-09-10,2020-09-10 15:32:12+00:00,44572,I Got The Same Old Blues,J.J. Cale,spotify:track:2BTMbIArFNAgxmT1t3RmKm
2020-09-10,2020-09-10 15:32:25+00:00,12236,Stay Bless,Kiko Bun,spotify:track:3m7oq6mI87137pdj4MUS9i
2020-09-10,2020-09-10 15:35:32+00:00,187854,Maisie,Kiko Bun,spotify:track:0ckbGbktgA44cYMwm8Xl9A
2020-09-10,2020-09-10 15:39:10+00:00,217360,We Need Love,Johnny Osbourne,spotify:track:1yQjhh7qrimZ9OPMX7WIsD
2020-09-10,2020-09-10 15:43:14+00:00,244200,Sugar Water - Mungo's Hi Fi Mix,Prince Fatty,spotify:track:6Fr1cBKTz0nO9PgDP0CgAL
2020-09-10,2020-09-10 15:52:33+00:00,2927,Get Ready VIP - Om Unit Remix,Congo Natty,spotify:track:6iuaYfvXR4Y0oFxTSD1UIR
2020-09-10,2020-09-10 15:52:40+00:00,6176,Get Ready,Congo Natty,spotify:track:3Z3hgecucGIO6WXFSBxE4e
2020-09-10,2020-09-10 15:52:44+00:00,383,Junglist (feat. Peter Bouncer),Congo Natty,spotify:track:0YjUY9QRL0tvN7FcXvAmlE
2020-09-10,2020-09-10 15:52:44+00:00,3473,Who's Loving You - Pt. 2,High Contrast,spotify:track:6kQVWxy2tuWEVbR9B2cOnS
2020-09-10,2020-09-10 15:53:44+00:00,58360,Get Ready,Congo Natty,spotify:track:3Z3hgecucGIO6WXFSBxE4e
2020-09-10,2020-09-10 15:53:46+00:00,2684,Tobacco Road,High Contrast,spotify:track:36bYaDpzrl9M9YVijhWxBI
2020-09-10,2020-09-10 16:01:36+00:00,323450,Get Ready,Congo Natty,spotify:track:3Z3hgecucGIO6WXFSBxE4e
2020-09-10,2020-09-10 16:06:32+00:00,298533,Out Of Space (Remastered),The Prodigy,spotify:track:6gd0CyUDtpqZpTz2Yh2etS
2020-09-10,2020-09-10 16:12:26+00:00,354951,Who's Loving You - Pt. 2,High Contrast,spotify:track:6kQVWxy2tuWEVbR9B2cOnS
2020-09-10,2020-09-10 16:17:43+00:00,320271,If We Ever,High Contrast,spotify:track:33LQ2hkSecs8ax6Bz2t9D8
2020-09-10,2020-09-10 16:21:21+00:00,206866,Nu Beginingz,Congo Natty,spotify:track:0IcjWuoXbhOFMyaDDINOyc
2020-09-10,2020-09-10 16:21:59+00:00,38033,Something Good '08 - High Contrast Remix,Utah Saints,spotify:track:4U1gUAmqP8KcZAsiNUEg9a
2020-09-10,2020-09-10 16:22:00+00:00,0,Breathe,The Prodigy,spotify:track:5oPUBUzrAnwvlmMzl1VW7Y
2020-09-10,2020-09-10 16:22:00+00:00,567,Smack My Bitch Up,The Prodigy,spotify:track:3tehrxZR8eaANHov4cEctL
2020-09-10,2020-09-10 16:22:01+00:00,460,Junglist (feat. Peter Bouncer),Congo Natty,spotify:track:0YjUY9QRL0tvN7FcXvAmlE
2020-09-10,2020-09-10 16:22:20+00:00,19696,UK Allstars - Congo Natty Meets Benny Page Mix,Congo Natty,spotify:track:7aoHi8U1sFJIWUReY8vphS
2020-09-10,2020-09-10 16:26:21+00:00,241466,Tobacco Road,High Contrast,spotify:track:36bYaDpzrl9M9YVijhWxBI
2020-09-10,2020-09-10 16:31:29+00:00,307493,Moody Blue,High Contrast,spotify:track:2mhaSfrYSvjIVLUGed9pVK
2020-09-10,2020-09-10 16:36:19+00:00,290306,Come Together,High Contrast,spotify:track:3ThlyeP5Ojwsc4xjyooleh
2020-09-11,2020-09-11 14:03:11+00:00,111327,Fire,Gentleman's Dub Club,spotify:track:4T0WeWgLvynEMfKXLjg2LL
2020-09-11,2020-09-11 14:05:43+00:00,88769,Weight of Sound,Stick Figure,spotify:track:3W4x7fZhMHw2pE6wyBzzF8
2020-09-11,2020-09-11 14:05:56+00:00,12120,Japanese Squeeze,Sashamon,spotify:track:5geAnlK4PDjZQydQwNPKEl
2020-09-11,2020-09-11 14:06:49+00:00,52987,Venice Venture,Big Wild,spotify:track:4IBwgoDpNG2p7EouVtFw0E
2020-09-11,2020-09-11 14:06:55+00:00,5479,Slings & Arrows,Fat Freddy's Drop,spotify:track:1IE5u8I3TZOAocFnNK6G1O
2020-09-11,2020-09-11 14:07:02+00:00,6710,Medicine Chest Dub,Prince Fatty,spotify:track:2RjZ75qAKq5vw5t1dqjJ1z
2020-09-11,2020-09-11 14:07:03+00:00,1462,Money,Easy Star All-Stars,spotify:track:5QREkNN2kAKUsXppK9Vrcu
2020-09-11,2020-09-11 17:28:35+00:00,17691,The Warning,High Contrast,spotify:track:3vwYxBFbB4zOoVfBCgLowY
